# gunzip -c exp/mono/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/mono/graph 
# Started at Sun Sep 11 01:06:39 PDT 2016
#
At utterance begin, sil accounts for 99.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.0,26) frames.
Overall, s_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.5,21) frames.
Overall, t_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,16) frames.
Overall, uw_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,16) frames.
Overall, aa_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.0,20) frames.
Overall, ax_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,11) frames.
Overall, t_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,16) frames.
Overall, b_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,11) frames.
Overall, d_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,11) frames.
Overall, m_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,13) frames.
Overall, r_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,12) frames.
Overall, hh_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,13) frames.
Overall, r_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,14) frames.
Overall, uw_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.5,23) frames.
Overall, aa_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.2,21) frames.
Overall, l_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.0,17) frames.
Overall, ay_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.7,26) frames.
Overall, eh_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,18) frames.
Overall, p_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.7,17) frames.
Overall, dd_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,11) frames.
Overall, sh_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.8,16) frames.
Overall, d_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,11) frames.
Overall, f_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,16) frames.
Overall, ow_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,19) frames.
Overall, ch_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,13) frames.
Overall, v_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,9) frames.
Overall, g_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,12) frames.
Overall, dd_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.7,8) frames.
Overall, jh_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,10) frames.
Overall, y_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,15) frames.
The optional-silence phone sil occupies 12.5% of frames overall 
Limiting the stats to the 89.9% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 2.7% of frames.
Assuming 100 frames per second, the alignments represent 1.3 hours of data, or 1.2 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 2.0% of utterance-internal phones, with duration (median, mean, 95-percentile) = (8,11.8,35)
# Accounting: time=0 threads=1
# Ended (code 0) at Sun Sep 11 01:06:39 PDT 2016, elapsed time 0 seconds
