ஃ x 
ஃபியூரியஸ் xpɪɪ̯uːɾɪɪ̯ʌs 
ஃபிராக் xpɪɾɑːk 
ஃபிரான்சிஸ் xpɪɾɑːn̺sɪs 
ஃபிரோடியா xpɪɾo˞ːɽɪɪ̯ɑː 
ஃபிலிப்பினோ xpɪlɪppɪn̺oˑ 
ஃபிலிம் xpɪlɪm 
ஃபில்டரில் xpɪlʈʌɾɪl 
ஃபில்டரை xpɪlʈʌɾʌɪ̯ 
ஃபில்டர் xpɪlʈʌr 
ஃபில்டர்களில் xpɪlʈʌrɣʌ˞ɭʼɪl 
ஃபிளிப் xpɪ˞ɭʼɪp 
ஃபிளிப்கார்ட் xpɪ˞ɭʼɪpkɑːrʈ 
ஃபிளை xpɪ˞ɭʼʌɪ̯ 
ஃபிஷ் xpɪʂ 
ஃபீட் xpi˞ːʈ 
ஃபுட் xpʉ̩˞ʈ 
ஃபென்யாங்கைச் xpɛ̝n̺ɪ̯ɑːŋgʌɪ̯tʃ 
ஃபென்ஸ் xpɛ̝n̺s 
ஃபெராரி xpɛ̝ɾɑːɾɪˑ 
ஃபெரோ xpɛ̝ɾoˑ 
ஃபெர்னாண்டிடம் xpɛ̝rn̺ɑ˞ːɳɖɪ˞ɽʌm 
ஃபெர்பெக்டாக xpɛ̝rβɛ̝kʈɑːxə 
ஃபெலிசியா xpɛ̝lɪsɪɪ̯ɑː 
ஃபெஸ்டிவல்னாலே xpɛ̝sʈɪʋʌln̺ɑːleˑ 
ஃபேக்டரி xpeːkʈʌɾɪˑ 
ஃபேன் xpeːn̺ 
ஃபேன்சி xpeːn̺sɪˑ 
ஃபேபியா xpeːβɪɪ̯ɑː 
ஃபேமிலி xpeːmɪlɪˑ 
ஃபேவரிட் xpeːʋʌɾɪ˞ʈ 
ஃபேவரைட் xpeːʋʌɾʌɪ̯ʈ 
ஃபேஷன் xpeːʂʌn̺ 
ஃபேஸ்புக் xpeːspʉ̩k 
ஃபேஸ்புக்கை xpeːspʉ̩kkʌɪ̯ 
ஃபேஸ்புக்தான் xpeːspʉ̩kt̪ɑːn̺ 
ஃபோக்ஸ்வேகன் xpeːˀɑːksʋeːxʌn̺ 
ஃபை xpʌɪ̯ 
ஃபைபரால் xpʌɪ̯βʌɾɑːl 
ஃபைபர் xpʌɪ̯βʌr 
ஃபோகஸ் xpoːxʌs 
ஃபோக்ஸ் xpoːks 
ஃபோக்ஸ்வேகன் xpoːksʋeːxʌn̺ 
ஃபோட்டான் xpo˞ːʈʈɑːn̺ 
ஃபோட்டோ xpo˞ːʈʈoˑ 
ஃபோன் xpoːn̺ 
ஃபோர் xpoːr 
ஃபோர்சின் xpoːrtʃɪn̺ 
ஃபோர்டு xpoːrʈɨ 
ஃபோர்ட் xpoːrʈ 
ஃபோர்னீர் xpoːrn̺iːr 
ஃபோர்ப்ஸ் xpoːrβs 
ஃபோர்ம் xpoːrm 
ஃபோர்ஸ் xpoːrs 
ஃபோல்கர் xpoːlxʌr 
ஃபோல்டிங் xpoːlʈɪŋ 
ஃப்ராங்க் xprɑːŋg 
ஃப்ரான்ஸில் xprɑːn̺sɪl 
ஃப்ரீசார்ஜ் xpriːsɑːrdʒ 
ஃப்ரெஞ்ச் xprɛ̝ɲdʒ 
ஃப்ரேட்டினியின் xpre˞ːʈʈɪn̺ɪɪ̯ɪn̺ 
ஃப்ளோரன்ஸ் xpɭoːɾʌn̺s 
அ ˀə 
அகங்காரம் ˀʌxʌŋgɑːɾʌm 
அகதி ˀʌxʌðɪˑ 
அகதிகளாக்கப்படுகின்றனர் ˀʌxʌðɪxʌ˞ɭʼɑːkkʌppʌ˞ɽɨçɪn̺d̺ʳʌn̺ʌr 
அகதிகளின் ˀʌxʌðɪxʌ˞ɭʼɪn̺ 
அகதிகள் ˀʌxʌðɪxʌ˞ɭ 
அகன்ற ˀʌxʌn̺d̺ʳə 
அகப்படவும் ˀʌxʌppʌ˞ɽʌʋʉ̩m 
அகப்பட்டிருப்பதுபோலத் ˀʌxʌppʌ˞ʈʈɪɾɨppʌðɨβoːlʌt̪ 
அகமகிழ்கிறாள் ˀʌxʌmʌçɪ˞ɻgʲɪɾɑ˞ːɭ 
அகமதா ˀʌxʌmʌðɑː 
அகமதாபாத் ˀʌxʌmʌðɑːβɑːt̪ 
அகமதாபாத்திலிருந்து ˀʌxʌmʌðɑːβɑːt̪t̪ɪlɪɾɨn̪d̪ɨ 
அகமதாபாத்தில் ˀʌxʌmʌðɑːβɑːt̪t̪ɪl 
அகமதாபாத்துக்கு ˀʌxʌmʌðɑːβɑːt̪t̪ɨkkɨ 
அகமது ˀʌxʌmʌðɨ 
அகமதை ˀʌxʌmʌðʌɪ̯ 
அகற்ற ˀʌxʌt̺t̺ʳə 
அகற்றச் ˀʌxʌt̺t̺ʳʌtʃ 
அகற்றப்பட ˀʌxʌt̺t̺ʳʌppʌ˞ɽə 
அகற்றப்படும் ˀʌxʌt̺t̺ʳʌppʌ˞ɽɨm 
அகற்றப்பட்டது ˀʌxʌt̺t̺ʳʌppʌ˞ʈʈʌðɨ 
அகற்றப்பட்டுவிட்டன ˀʌxʌt̺t̺ʳʌppʌ˞ʈʈɨʋɪ˞ʈʈʌn̺ə 
அகற்றல் ˀʌxʌt̺t̺ʳʌl 
அகற்றவேண்டும் ˀʌxʌt̺t̺ʳʌʋe˞ːɳɖɨm 
அகற்றாதது ˀʌxʌt̺t̺ʳɑːðʌðɨ 
அகற்றி ˀʌxʌt̺t̺ʳɪˑ 
அகற்றிடவும் ˀʌxʌt̺t̺ʳɪ˞ɽʌʋʉ̩m 
அகற்றினார்கள் ˀʌxʌt̺t̺ʳɪn̺ɑːrɣʌ˞ɭ 
அகற்றியே ˀʌxʌt̺t̺ʳɪɪ̯eˑ 
அகற்றிவிட்டு ˀʌxʌt̺t̺ʳɪʋɪ˞ʈʈɨ 
அகற்றுதல் ˀʌxʌt̺t̺ʳɨðʌl 
அகற்றும் ˀʌxʌt̺t̺ʳɨm 
அகற்றுவதில் ˀʌxʌt̺t̺ʳɨʋʌðɪl 
அகற்றுவது ˀʌxʌt̺t̺ʳɨʋʌðɨ 
அகற்றுவதும் ˀʌxʌt̺t̺ʳɨʋʌðɨm 
அகற்றுவதே ˀʌxʌt̺t̺ʳɨʋʌðeˑ 
அகல ˀʌxʌlə 
அகலமாக ˀʌxʌlʌmɑːxə 
அகலமான ˀʌxʌlʌmɑːn̺ə 
அகலமும் ˀʌxʌlʌmʉ̩m 
அகலம் ˀʌxʌlʌm 
அகவிலைப்படியில் ˀʌxʌʋɪlʌɪ̯ppʌ˞ɽɪɪ̯ɪl 
அகாசி ˀʌxɑːsɪˑ 
அகாட ˀʌxɑ˞ːɽə 
அகாடமி ˀʌxɑ˞ːɽʌmɪˑ 
அகாதமி ˀʌxɑːðʌmɪˑ 
அகாதெமி ˀʌxɑːðɛ̝mɪˑ 
அகால ˀʌxɑːlə 
அகாஸியின் ˀʌxɑːsɪɪ̯ɪn̺ 
அகிம்சை ˀʌçɪmtʃʌɪ̯ 
