ஃ x 
ஃபியூரியஸ் xpɪɪ̯uːɾɪɪ̯ʌs 
ஃபிராக் xpɪɾɑːk 
ஃபிரான்சிஸ் xpɪɾɑːn̺sɪs 
ஃபிரோடியா xpɪɾo˞ːɽɪɪ̯ɑː 
ஃபிலிப்பினோ xpɪlɪppɪn̺oˑ 
ஃபிலிம் xpɪlɪm 
ஃபில்டரில் xpɪlʈʌɾɪl 
ஃபில்டரை xpɪlʈʌɾʌɪ̯ 
ஃபில்டர் xpɪlʈʌr 
ஃபில்டர்களில் xpɪlʈʌrɣʌ˞ɭʼɪl 
ஃபிளிப் xpɪ˞ɭʼɪp 
ஃபிளிப்கார்ட் xpɪ˞ɭʼɪpkɑːrʈ 
ஃபிளை xpɪ˞ɭʼʌɪ̯ 
ஃபிஷ் xpɪʂ 
ஃபீட் xpi˞ːʈ 
ஃபுட் xpʉ̩˞ʈ 
ஃபென்யாங்கைச் xpɛ̝n̺ɪ̯ɑːŋgʌɪ̯tʃ 
ஃபென்ஸ் xpɛ̝n̺s 
ஃபெராரி xpɛ̝ɾɑːɾɪˑ 
ஃபெரோ xpɛ̝ɾoˑ 
ஃபெர்னாண்டிடம் xpɛ̝rn̺ɑ˞ːɳɖɪ˞ɽʌm 
ஃபெர்பெக்டாக xpɛ̝rβɛ̝kʈɑːxə 
ஃபெலிசியா xpɛ̝lɪsɪɪ̯ɑː 
ஃபெஸ்டிவல்னாலே xpɛ̝sʈɪʋʌln̺ɑːleˑ 
ஃபேக்டரி xpeːkʈʌɾɪˑ 
ஃபேன் xpeːn̺ 
ஃபேன்சி xpeːn̺sɪˑ 
ஃபேபியா xpeːβɪɪ̯ɑː 
ஃபேமிலி xpeːmɪlɪˑ 
ஃபேவரிட் xpeːʋʌɾɪ˞ʈ 
ஃபேவரைட் xpeːʋʌɾʌɪ̯ʈ 
ஃபேஷன் xpeːʂʌn̺ 
ஃபேஸ்புக் xpeːspʉ̩k 
ஃபேஸ்புக்கை xpeːspʉ̩kkʌɪ̯ 
ஃபேஸ்புக்தான் xpeːspʉ̩kt̪ɑːn̺ 
ஃபோக்ஸ்வேகன் xpeːˀɑːksʋeːxʌn̺ 
ஃபை xpʌɪ̯ 
ஃபைபரால் xpʌɪ̯βʌɾɑːl 
ஃபைபர் xpʌɪ̯βʌr 
ஃபோகஸ் xpoːxʌs 
ஃபோக்ஸ் xpoːks 
ஃபோக்ஸ்வேகன் xpoːksʋeːxʌn̺ 
ஃபோட்டான் xpo˞ːʈʈɑːn̺ 
ஃபோட்டோ xpo˞ːʈʈoˑ 
ஃபோன் xpoːn̺ 
ஃபோர் xpoːr 
ஃபோர்சின் xpoːrtʃɪn̺ 
ஃபோர்டு xpoːrʈɨ 
ஃபோர்ட் xpoːrʈ 
ஃபோர்னீர் xpoːrn̺iːr 
ஃபோர்ப்ஸ் xpoːrβs 
ஃபோர்ம் xpoːrm 
ஃபோர்ஸ் xpoːrs 
ஃபோல்கர் xpoːlxʌr 
ஃபோல்டிங் xpoːlʈɪŋ 
ஃப்ராங்க் xprɑːŋg 
ஃப்ரான்ஸில் xprɑːn̺sɪl 
ஃப்ரீசார்ஜ் xpriːsɑːrdʒ 
ஃப்ரெஞ்ச் xprɛ̝ɲdʒ 
ஃப்ரேட்டினியின் xpre˞ːʈʈɪn̺ɪɪ̯ɪn̺ 
ஃப்ளோரன்ஸ் xpɭoːɾʌn̺s 
அ ˀə 
அகங்காரம் ˀʌxʌŋgɑːɾʌm 
அகதி ˀʌxʌðɪˑ 
அகதிகளாக்கப்படுகின்றனர் ˀʌxʌðɪxʌ˞ɭʼɑːkkʌppʌ˞ɽɨçɪn̺d̺ʳʌn̺ʌr 
அகதிகளின் ˀʌxʌðɪxʌ˞ɭʼɪn̺ 
அகதிகள் ˀʌxʌðɪxʌ˞ɭ 
அகன்ற ˀʌxʌn̺d̺ʳə 
அகப்படவும் ˀʌxʌppʌ˞ɽʌʋʉ̩m 
அகப்பட்டிருப்பதுபோலத் ˀʌxʌppʌ˞ʈʈɪɾɨppʌðɨβoːlʌt̪ 
அகமகிழ்கிறாள் ˀʌxʌmʌçɪ˞ɻgʲɪɾɑ˞ːɭ 
அகமதா ˀʌxʌmʌðɑː 
அகமதாபாத் ˀʌxʌmʌðɑːβɑːt̪ 
அகமதாபாத்திலிருந்து ˀʌxʌmʌðɑːβɑːt̪t̪ɪlɪɾɨn̪d̪ɨ 
அகமதாபாத்தில் ˀʌxʌmʌðɑːβɑːt̪t̪ɪl 
அகமதாபாத்துக்கு ˀʌxʌmʌðɑːβɑːt̪t̪ɨkkɨ 
அகமது ˀʌxʌmʌðɨ 
அகமதை ˀʌxʌmʌðʌɪ̯ 
அகற்ற ˀʌxʌt̺t̺ʳə 
அகற்றச் ˀʌxʌt̺t̺ʳʌtʃ 
அகற்றப்பட ˀʌxʌt̺t̺ʳʌppʌ˞ɽə 
அகற்றப்படும் ˀʌxʌt̺t̺ʳʌppʌ˞ɽɨm 
அகற்றப்பட்டது ˀʌxʌt̺t̺ʳʌppʌ˞ʈʈʌðɨ 
அகற்றப்பட்டுவிட்டன ˀʌxʌt̺t̺ʳʌppʌ˞ʈʈɨʋɪ˞ʈʈʌn̺ə 
அகற்றல் ˀʌxʌt̺t̺ʳʌl 
அகற்றவேண்டும் ˀʌxʌt̺t̺ʳʌʋe˞ːɳɖɨm 
அகற்றாதது ˀʌxʌt̺t̺ʳɑːðʌðɨ 
அகற்றி ˀʌxʌt̺t̺ʳɪˑ 
அகற்றிடவும் ˀʌxʌt̺t̺ʳɪ˞ɽʌʋʉ̩m 
அகற்றினார்கள் ˀʌxʌt̺t̺ʳɪn̺ɑːrɣʌ˞ɭ 
அகற்றியே ˀʌxʌt̺t̺ʳɪɪ̯eˑ 
அகற்றிவிட்டு ˀʌxʌt̺t̺ʳɪʋɪ˞ʈʈɨ 
அகற்றுதல் ˀʌxʌt̺t̺ʳɨðʌl 
அகற்றும் ˀʌxʌt̺t̺ʳɨm 
அகற்றுவதில் ˀʌxʌt̺t̺ʳɨʋʌðɪl 
அகற்றுவது ˀʌxʌt̺t̺ʳɨʋʌðɨ 
அகற்றுவதும் ˀʌxʌt̺t̺ʳɨʋʌðɨm 
அகற்றுவதே ˀʌxʌt̺t̺ʳɨʋʌðeˑ 
அகல ˀʌxʌlə 
அகலமாக ˀʌxʌlʌmɑːxə 
அகலமான ˀʌxʌlʌmɑːn̺ə 
அகலமும் ˀʌxʌlʌmʉ̩m 
அகலம் ˀʌxʌlʌm 
அகவிலைப்படியில் ˀʌxʌʋɪlʌɪ̯ppʌ˞ɽɪɪ̯ɪl 
அகாசி ˀʌxɑːsɪˑ 
அகாட ˀʌxɑ˞ːɽə 
அகாடமி ˀʌxɑ˞ːɽʌmɪˑ 
அகாதமி ˀʌxɑːðʌmɪˑ 
அகாதெமி ˀʌxɑːðɛ̝mɪˑ 
அகால ˀʌxɑːlə 
அகாஸியின் ˀʌxɑːsɪɪ̯ɪn̺ 
அகிம்சை ˀʌçɪmtʃʌɪ̯ 
அகில ˀʌçɪlə 
அகோரம் ˀʌxoːɾʌm 
அக் ˀʌk 
அக்கட்சி ˀʌkkʌ˞ʈtʃɪˑ 
அக்கட்சிகள் ˀʌkkʌ˞ʈtʃɪxʌ˞ɭ 
அக்கட்சிக்கு ˀʌkkʌ˞ʈtʃɪkkɨ 
அக்கட்சித் ˀʌkkʌ˞ʈtʃɪt̪ 
அக்கட்சியிடம் ˀʌkkʌ˞ʈtʃɪɪ̯ɪ˞ɽʌm 
அக்கட்சியின் ˀʌkkʌ˞ʈtʃɪɪ̯ɪn̺ 
அக்கட்சியில் ˀʌkkʌ˞ʈtʃɪɪ̯ɪl 
அக்கட்சியுடன் ˀʌkkʌ˞ʈtʃɪɪ̯ɨ˞ɽʌn̺ 
அக்கணினிகளில் ˀʌkkʌ˞ɳʼɪn̺ɪxʌ˞ɭʼɪl 
அக்கப்போர் ˀʌkkʌppoːr 
அக்கப்போர்களை ˀʌkkʌppoːrɣʌ˞ɭʼʌɪ̯ 
அக்கப்போர்கள் ˀʌkkʌppoːrɣʌ˞ɭ 
அக்கம் ˀʌkkʌm 
அக்கம்பக்கத்தினர் ˀʌkkʌmbʌkkʌt̪t̪ɪn̺ʌr 
அக்கறை ˀʌkkʌɾʌɪ̯ 
அக்கறையின் ˀʌkkʌɾʌjɪ̯ɪn̺ 
அக்கறையின்மை ˀʌkkʌɾʌjɪ̯ɪn̺mʌɪ̯ 
அக்கறையுடனும் ˀʌkkʌɾʌjɪ̯ɨ˞ɽʌn̺ɨm 
அக்கறையை ˀʌkkʌɾʌjɪ̯ʌɪ̯ 
அக்கறையோடு ˀʌkkʌɾʌjɪ̯o˞ːɽɨ 
அக்கா ˀʌkkɑː 
அக்கார்டு ˀʌkkɑːrʈɨ 
அக்கால ˀʌkkɑːlə 
அக்காலத்தில் ˀʌkkɑːlʌt̪t̪ɪl 
அக்கினி ˀʌkkʲɪn̺ɪˑ 
அக்குடும்பங்களுக்கு ˀʌkkɨ˞ɽɨmbʌŋgʌ˞ɭʼɨkkɨ 
அக்குடும்பம் ˀʌkkɨ˞ɽɨmbʌm 
அக்குழந்தைகளின் ˀʌkkɨ˞ɻʌn̪d̪ʌɪ̯xʌ˞ɭʼɪn̺ 
அக்குழந்தைகள் ˀʌkkɨ˞ɻʌn̪d̪ʌɪ̯xʌ˞ɭ 
அக்கேள்விகள் ˀʌkke˞ːɭʋɪxʌ˞ɭ 
அக்கொலையாளி ˀʌkko̞lʌjɪ̯ɑ˞ːɭʼɪˑ 
அக்சசரீஸ் ˀʌktʃʌsʌɾiːs 
அக்டோபர் ˀʌkʈeːˀɑːβʌr 
அக்டோபரில் ˀʌkʈoːβʌɾɪl 
அக்டோபர் ˀʌkʈoːβʌr 
அக்தர் ˀʌkt̪ʌr 
அக்னி ˀʌkn̺ɪˑ 
அக்னிஸ்கா ˀʌkn̺ɪskɑː 
அக்னீஸ்கா ˀʌkn̺iːskɑː 
அக்பர் ˀʌkpʌr 
அக்ரோடெக் ˀʌkro˞ːɽɛ̝k 
அக்லஜா ˀʌklʌdʒɑː 
அக்லஜாவின் ˀʌklʌdʒɑːʋɪn̺ 
அக்லஜாவும் ˀʌklʌdʒɑːʋʉ̩m 
அக்ஷய் ˀʌkʂʌɪ̯ 
அங்கங்களைப் ˀʌŋgʌŋgʌ˞ɭʼʌɪ̯p 
அங்கமாக ˀʌŋgʌmɑːxə 
அங்கமாகக் ˀʌŋgʌmɑːxʌk 
அங்கமான ˀʌŋgʌmɑːn̺ə 
அங்கம் ˀʌŋgʌm 
அங்கம்தான் ˀʌŋgʌmt̪ɑːn̺ 
அங்காடி ˀʌŋgɑ˞ːɽɪˑ 
அங்காடிகளில் ˀʌŋgɑ˞ːɽɪxʌ˞ɭʼɪl 
அங்காடிகளைத்தான் ˀʌŋgɑ˞ːɽɪxʌ˞ɭʼʌɪ̯t̪t̪ɑːn̺ 
அங்காடிகள் ˀʌŋgɑ˞ːɽɪxʌ˞ɭ 
அங்காடியில் ˀʌŋgɑ˞ːɽɪɪ̯ɪl 
அங்காரா ˀʌŋgɑːɾɑː 
அங்கிருக்கும் ˀʌŋʲgʲɪɾɨkkɨm 
அங்கிருந்த ˀʌŋʲgʲɪɾɨn̪d̪ə 
அங்கிருந்தவர்களுடன் ˀʌŋʲgʲɪɾɨn̪d̪ʌʋʌrɣʌ˞ɭʼɨ˞ɽʌn̺ 
அங்கிருந்தவர்கள் ˀʌŋʲgʲɪɾɨn̪d̪ʌʋʌrɣʌ˞ɭ 
அங்கிருந்து ˀʌŋʲgʲɪɾɨn̪d̪ɨ 
அங்கிருந்தும் ˀʌŋʲgʲɪɾɨn̪d̪ɨm 
அங்கிருந்தே ˀʌŋʲgʲɪɾɨn̪d̪eˑ 
அங்கிருப்பது ˀʌŋʲgʲɪɾɨppʌðɨ 
அங்கிருப்பவர்கள் ˀʌŋʲgʲɪɾɨppʌʋʌrɣʌ˞ɭ 
அங்கிள் ˀʌŋʲgʲɪ˞ɭ 
அங்கீ ˀʌŋʲgʲiˑ 
அங்கீகரிக் ˀʌŋʲgʲiːxʌɾɪk 
அங்கீகரிக்க ˀʌŋʲgʲiːxʌɾɪkkə 
அங்கீகரிக்கப்பட்ட ˀʌŋʲgʲiːxʌɾɪkkʌppʌ˞ʈʈə 
அங்கீகரிக்கும் ˀʌŋʲgʲiːxʌɾɪkkɨm 
அங்கீகரித்து ˀʌŋʲgʲiːxʌɾɪt̪t̪ɨ 
அங்கீகாரத்துடன் ˀʌŋʲgʲiːxɑːɾʌt̪t̪ɨ˞ɽʌn̺ 
அங்கீகாரத்தை ˀʌŋʲgʲiːxɑːɾʌt̪t̪ʌɪ̯ 
அங்கீகாரத்தையும் ˀʌŋʲgʲiːxɑːɾʌt̪t̪ʌjɪ̯ɨm 
அங்கீகாரமாக ˀʌŋʲgʲiːxɑːɾʌmɑːxə 
அங்கீகாரமும் ˀʌŋʲgʲiːxɑːɾʌmʉ̩m 
அங்கீகாரம் ˀʌŋʲgʲiːxɑːɾʌm 
அங்கீரிக்கப்பட்டு ˀʌŋʲgʲiːɾɪkkʌppʌ˞ʈʈɨ 
அங்கு ˀʌŋgɨ 
அங்குதான் ˀʌŋgɨðɑːn̺ 
அங்குபோய் ˀʌŋgɨβoːɪ̯ 
அங்குமிங்கும் ˀʌŋgɨmɪŋgɨm 
அங்கும் ˀʌŋgɨm 
அங்குர் ˀʌŋgɨr 
அங்குல ˀʌŋgɨlə 
அங்குலத்திற்கு ˀʌŋgɨlʌt̪t̪ɪrkɨ 
அங்குலம் ˀʌŋgɨlʌm 
அங்குள்ள ˀʌŋgɨ˞ɭɭə 
அங்குள்ளவர்கள் ˀʌŋgɨ˞ɭɭʌʋʌrɣʌ˞ɭ 
அங்கென்ன ˀʌŋgɛ̝n̺n̺ə 
அங்கெல்லாம் ˀʌŋgɛ̝llɑːm 
அங்கே ˀʌŋgeˑ 
அங்கேதான் ˀʌŋgeːðɑːn̺ 
அங்கேயே ˀʌŋgeːɪ̯eˑ 
அங்கொன்றும் ˀʌŋgo̞n̺d̺ʳɨm 
அங்கோ ˀʌŋgoˑ 
அசட்டையாக ˀʌsʌ˞ʈʈʌjɪ̯ɑːxə 
அசதியில் ˀʌsʌðɪɪ̯ɪl 
அசத்தலாக ˀʌsʌt̪t̪ʌlɑːxə 
அசத்தலான ˀʌsʌt̪t̪ʌlɑːn̺ə 
அசத்தல் ˀʌsʌt̪t̪ʌl 
அசத்தினர் ˀʌsʌt̪t̪ɪn̺ʌr 
அசத்தினார் ˀʌsʌt̪t̪ɪn̺ɑːr 
அசத்திய ˀʌsʌt̪t̪ɪɪ̯ə 
அசத்தியது ˀʌsʌt̪t̪ɪɪ̯ʌðɨ 
அசத்தியவர் ˀʌsʌt̪t̪ɪɪ̯ʌʋʌr 
அசத்துகிறார் ˀʌsʌt̪t̪ɨçɪɾɑːr 
அசந்துபோகிறார் ˀʌsʌn̪d̪ɨβoːçɪɾɑːr 
அசந்துருவான் ˀʌsʌn̪d̪ɨɾɨʋɑːn̺ 
அசனா ˀʌsʌn̺ɑː 
அசனாவுக்கு ˀʌsʌn̺ɑːʋʉ̩kkɨ 
அசம்பாவித ˀʌsʌmbɑːʋɪðə 
அசம்பாவிதங்களை ˀʌsʌmbɑːʋɪðʌŋgʌ˞ɭʼʌɪ̯ 
அசம்பாவிதம்தான் ˀʌsʌmbɑːʋɪðʌmt̪ɑːn̺ 
அசரவைக்கும் ˀʌsʌɾʌʋʌjccɨm 
அசலானவர் ˀʌsʌlɑːn̺ʌʋʌr 
அசலில் ˀʌsʌlɪl 
அசல் ˀʌsʌl 
அசவுகரியங்கள் ˀʌsʌʋʉ̩xʌɾɪɪ̯ʌŋgʌ˞ɭ 
அசாதாரண ˀʌsɑːðɑːɾʌ˞ɳʼə 
அசாதாரணமான ˀʌsɑːðɑːɾʌ˞ɳʼʌmɑːn̺ə 
அசாத்திய ˀʌsɑːt̪t̪ɪɪ̯ə 
அசாமில் ˀʌsɑːmɪl 
அசாம் ˀʌsɑːm 
அசிரத்தையாக ˀʌsɪɾʌt̪t̪ʌjɪ̯ɑːxə 
அசுர ˀʌsɨɾə 
அசுரத்தனமாக ˀʌsɨɾʌt̪t̪ʌn̺ʌmɑːxə 
அசுரன் ˀʌsɨɾʌn̺ 
அசுரப் ˀʌsɨɾʌp 
அசெம்பிளி ˀʌsɛ̝mbɪ˞ɭʼɪˑ 
அசெம்பிளிங் ˀʌsɛ̝mbɪ˞ɭʼɪŋ 
அசெம்பிள் ˀʌsɛ̝mbɪ˞ɭ 
அசைகலை ˀʌsʌɪ̯xʌlʌɪ̯ 
அசைக்க ˀʌsʌjccə 
அசைக்கிறது ˀʌsʌjccɪɾʌðɨ 
அசைத்த ˀʌsʌɪ̯t̪t̪ə 
அசைத்துப் ˀʌsʌɪ̯t̪t̪ɨp 
அசைன்மென்டின் ˀʌsʌɪ̯n̺mɛ̝n̺ʈɪn̺ 
அசைன்மென்ட் ˀʌsʌɪ̯n̺mɛ̝n̺ʈ 
அசைன்மென்ட்கள் ˀʌsʌɪ̯n̺mɛ̝n̺ʈkʌ˞ɭ 
அசைபோடுகிறது ˀʌsʌɪ̯βo˞ːɽɨçɪɾʌðɨ 
அசையா ˀʌsʌjɪ̯ɑː 
அசையும் ˀʌsʌjɪ̯ɨm 
அசைவுகளை ˀʌsʌɪ̯ʋʉ̩xʌ˞ɭʼʌɪ̯ 
அசைவுக்கு ˀʌsʌɪ̯ʋʉ̩kkɨ 
அசோக ˀʌsoːxə 
அசோகன் ˀʌsoːxʌn̺ 
அசோகா ˀʌsoːxɑː 
அசோக் ˀʌsoːk 
அசோக்நகர் ˀʌsoːkn̺ʌxʌr 
அசோசியேஷன் ˀʌsoːsɪɪ̯eːʂʌn̺ 
அசோசேமின் ˀʌsoːseːmɪn̺ 
அசோசேம் ˀʌsoːseːm 
அசோன்சால் ˀʌsoːn̺sɑːl 
அசௌகரியமான ˀʌsʌʋxʌɾɪɪ̯ʌmɑːn̺ə 
அசௌகர்யங்கள் ˀʌsʌʋxʌrɪ̯ʌŋgʌ˞ɭ 
அச்ச ˀʌtʃtʃə 
அச்சகத்திற்கு ˀʌtʃtʃʌxʌt̪t̪ɪrkɨ 
அச்சகத்தில் ˀʌtʃtʃʌxʌt̪t̪ɪl 
அச்சங்கத்தின் ˀʌtʃtʃʌŋgʌt̪t̪ɪn̺ 
அச்சங்களுக்குப் ˀʌtʃtʃʌŋgʌ˞ɭʼɨkkɨp 
அச்சத்தாலும் ˀʌtʃtʃʌt̪t̪ɑːlɨm 
அச்சத்தின் ˀʌtʃtʃʌt̪t̪ɪn̺ 
அச்சத்தில் ˀʌtʃtʃʌt̪t̪ɪl 
அச்சத்துடனேயே ˀʌtʃtʃʌt̪t̪ɨ˞ɽʌn̺eːɪ̯eˑ 
அச்சத்தை ˀʌtʃtʃʌt̪t̪ʌɪ̯ 
அச்சத்தையும் ˀʌtʃtʃʌt̪t̪ʌjɪ̯ɨm 
அச்சப்படுத்திக் ˀʌtʃtʃʌppʌ˞ɽɨt̪t̪ɪk 
அச்சப்படுவார்கள் ˀʌtʃtʃʌppʌ˞ɽɨʋɑːrɣʌ˞ɭ 
அச்சமடைகிறார்கள் ˀʌtʃtʃʌmʌ˞ɽʌɪ̯gʲɪɾɑːrɣʌ˞ɭ 
அச்சமயத்தில் ˀʌtʃtʃʌmʌɪ̯ʌt̪t̪ɪl 
அச்சமயம் ˀʌtʃtʃʌmʌɪ̯ʌm 
அச்சமின்றி ˀʌtʃtʃʌmɪn̺d̺ʳɪˑ 
அச்சமில்லை ˀʌtʃtʃʌmɪllʌɪ̯ 
அச்சமும் ˀʌtʃtʃʌmʉ̩m 
அச்சமுறும் ˀʌtʃtʃʌmʉ̩ɾɨm 
அச்சம் ˀʌtʃtʃʌm 
அச்சம்தமிழகத்தில் ˀʌtʃtʃʌmt̪ʌmɪ˞ɻʌxʌt̪t̪ɪl 
அச்சரப்பாக்கம் ˀʌtʃtʃʌɾʌppɑːkkʌm 
அச்சாரமிட்டுள்ளது ˀʌtʃtʃɑːɾʌmɪ˞ʈʈɨ˞ɭɭʌðɨ 
அச்சிடக்கூடாது ˀʌtʃtʃɪ˞ɽʌkku˞ːɽɑːðɨ 
அச்சிடப்படுவதாக ˀʌtʃtʃɪ˞ɽʌppʌ˞ɽɨʋʌðɑːxə 
அச்சிடப்பட்ட ˀʌtʃtʃɪ˞ɽʌppʌ˞ʈʈə 
அச்சிடப்பட்டதோ ˀʌtʃtʃɪ˞ɽʌppʌ˞ʈʈʌðoˑ 
அச்சிடவோ ˀʌtʃtʃɪ˞ɽʌʋoˑ 
அச்சிடுபவரால் ˀʌtʃtʃɪ˞ɽɨβʌʋʌɾɑːl 
அச்சிடுபவருக்கு ˀʌtʃtʃɪ˞ɽɨβʌʋʌɾɨkkɨ 
அச்சிடுபவரை ˀʌtʃtʃɪ˞ɽɨβʌʋʌɾʌɪ̯ 
அச்சிடுபவர் ˀʌtʃtʃɪ˞ɽɨβʌʋʌr 
அச்சிடுவதற்கு ˀʌtʃtʃɪ˞ɽɨʋʌðʌrkɨ 
அச்சிடுவது ˀʌtʃtʃɪ˞ɽɨʋʌðɨ 
அச்சிட்ட ˀʌtʃtʃɪ˞ʈʈə 
அச்சிட்டவருக்கு ˀʌtʃtʃɪ˞ʈʈʌʋʌɾɨkkɨ 
அச்சிட்டு ˀʌtʃtʃɪ˞ʈʈɨ 
அச்சிறுமி ˀʌtʃtʃɪɾɨmɪˑ 
அச்சிறுவனுக்கு ˀʌtʃtʃɪɾɨʋʌn̺ɨkkɨ 
அச்சிறுவன் ˀʌtʃtʃɪɾɨʋʌn̺ 
அச்சிறுவன்மீது ˀʌtʃtʃɪɾɨʋʌn̺miːðɨ 
அச்சு ˀʌtʃtʃɨ 
அச்சுஅசலாகத் ˀʌtʃtʃɨˀʌsʌlɑːxʌt̪ 
அச்சுறுத்தத் ˀʌtʃtʃɨɾɨt̪t̪ʌt̪ 
அச்சுறுத்தலாக ˀʌtʃtʃɨɾɨt̪t̪ʌlɑːxə 
அச்சுறுத்தலாகவும் ˀʌtʃtʃɨɾɨt̪t̪ʌlɑːxʌʋʉ̩m 
அச்சுறுத்தலுக்கு ˀʌtʃtʃɨɾɨt̪t̪ʌlɨkkɨ 
அச்சுறுத்தலும் ˀʌtʃtʃɨɾɨt̪t̪ʌlɨm 
அச்சுறுத்தல் ˀʌtʃtʃɨɾɨt̪t̪ʌl 
அச்சுறுத்துகிறது ˀʌtʃtʃɨɾɨt̪t̪ɨçɪɾʌðɨ 
அச்சுறுத்தும் ˀʌtʃtʃɨɾɨt̪t̪ɨm 
அச்சுறுத்துவதாகவும் ˀʌtʃtʃɨɾɨt̪t̪ɨʋʌðɑːxʌʋʉ̩m 
அஜய் ˀʌdʒʌɪ̯ 
அஜிதன் ˀʌdʒɪðʌn̺ 
அஜித் ˀʌdʒɪt̪ 
அஜித்குமார் ˀʌdʒɪt̪kɨmɑːr 
அஜித்தின் ˀʌdʒɪt̪t̪ɪn̺ 
அஜீத் ˀʌdʒiːt̪ 
அஜீத்துக்கும் ˀʌdʒiːt̪t̪ɨkkɨm 
அஜீத்தும் ˀʌdʒiːt̪t̪ɨm 
அஜெரா ˀʌdʒɛ̝ɾɑː 
அஞ்ச ˀʌɲdʒə 
அஞ்சலி ˀʌɲdʒʌlɪˑ 
அஞ்சலிக்காக ˀʌɲdʒʌlɪkkɑːxə 
அஞ்சலியாக ˀʌɲdʒʌlɪɪ̯ɑːxə 
அஞ்சல் ˀʌɲdʒʌl 
அஞ்சல்களைப் ˀʌɲdʒʌlxʌ˞ɭʼʌɪ̯p 
அஞ்சாதவனா ˀʌɲdʒɑːðʌʋʌn̺ɑː 
அஞ்சாமல் ˀʌɲdʒɑːmʌl 
அஞ்சாமை ˀʌɲdʒɑːmʌɪ̯ 
அஞ்சி ˀʌɲdʒɪˑ 
அஞ்சிய ˀʌɲdʒɪɪ̯ə 
அஞ்சுகம் ˀʌɲdʒɨxʌm 
அஞ்சுகின்றனர் ˀʌɲdʒɨçɪn̺d̺ʳʌn̺ʌr 
அஞ்சுகிறார் ˀʌɲdʒɨçɪɾɑːr 
அஞ்சுபவனாகவும் ˀʌɲdʒɨβʌʋʌn̺ɑːxʌʋʉ̩m 
அஞ்சுபவரா ˀʌɲdʒɨβʌʋʌɾɑː 
அஞ்சும் ˀʌɲdʒɨm 
அஞ்சுவது ˀʌɲdʒɨʋʌðɨ 
அஞ்சுவார்கள் ˀʌɲdʒɨʋɑːrɣʌ˞ɭ 
அட ˀʌ˞ɽə 
அடக்க ˀʌ˞ɽʌkkə 
அடக்கவிலை ˀʌ˞ɽʌkkʌʋɪlʌɪ̯ 
அடக்கி ˀʌ˞ɽʌkkʲɪˑ 
அடக்கிக் ˀʌ˞ɽʌkkʲɪk 
அடக்கிவிடலாம் ˀʌ˞ɽʌkkʲɪʋɪ˞ɽʌlɑːm 
அடக்குமுறைக்கு ˀʌ˞ɽʌkkɨmʉ̩ɾʌjccɨ 
அடங்கல ˀʌ˞ɽʌŋgʌlə 
அடங்காத ˀʌ˞ɽʌŋgɑːðə 
